product_name,categories,ingredients_text,countries_en,category_label
Flute,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",Wheat,United Kingdom,1419
Cauliflower,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh vegetables,Cauliflower",Cauliflower,United Kingdom,1541
Spring Onions,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh vegetables,Fresh herbs",Spring Onions,United Kingdom,1542
Flat Leaf Parsley,"Flat Parsley,Parsley,Herbs",Flat leaf parsley,United Kingdom,743
Sea Salt Potato Chips,"Chips,Chips and fries","Unpeeled potatoes, sunflower oil, sea salt.",United States,457
Jelly Fish,"Sugary snacks,Confectioneries,Candies","sugar, corn syrup, modified corn starch, citrict acid, sodium citrate, natural and artificial flavours, mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1.",Germany,1938
Clam Chowder A Condensed Soup,"Chowders,Soups","Sea clams, sea clam juice, potatoes, wheat flour, modified corn starch, salt, soybean oil, onions, natural clam flavor, celery, xanthan gum, black pepper.",United States,467
Large flat mushrooms,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh plant-based foods,Mushrooms and their products,Mushrooms",Large flat mushrooms,United Kingdom,1537
British Beef Braising Steak,Beef,beef braising steak  ,United Kingdom,197
British Iceberg Lettuce,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Leaf vegetables,Lettuces",iceberg lettuce,United Kingdom,1474
Yellow Mustard,"Groceries,Condiments,Sauces,Mustards","DISTILLED WHITE VINEGAR, WATER, MUSTARD SEED, MUSTARD BRAN, SALT, TURMERIC, PAPRIKA.",United States,912
tree ripened papaya,fruit,papaya,United Kingdom,2243
Sunflower oil,Sunflower oil,Sunflower oil.,United Kingdom,1941
Broccoli,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Fresh foods,Fresh vegetables,Broccoli,Cabbage",broccoli,United Kingdom,1539
Spaghetti sauce with mushrooms,pasta sauce,"Organic tomato puree, organic diced tomatoes, organic mushrooms, organic sugar, salt, organic garlic powder, organic onion powder, organic minced onion, organic basil, organic parsley, organic oregano, organic black pepper.",United States,2302
Rainbow Cherry,"Candies,Lollipops","Sugar, glucose syrup, citric acid, artificial flavors, red 40, red 3, yellow 5, yellow 6, blue 1",United States,346
Crunchy Peanut Butter,"Crunchy Peanut Butter,Peanut butters","Roasted peanuts, salt.",United States,554
Sliced Almonds,"Salty snacks,Nuts,Almonds",Almonds,United States,1803
Microwave Natural Popcorn,popcorn,"Popcorn, partially hydrogenated soybean oil, salt.",United States,2312
cut green beans,"Plant-based foods and beverages,Plant-based foods,Canned foods,Fruits and vegetables based foods,Vegetables based foods,Canned vegetables,Canned beans","Green beans, water, salt.",United States,1417
Diced tomatoes in tomato juice,Canned tomatoes,"Tomatoes, Tomato juice, Salt, Citric acid, Calcium chloride.",United States,375
Tomato Paste,Tomato paste,Tomatoes,United States,1995
Tomato Ketchup From Concentarate,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
Garbanzo Beans,Canned Beans,"Water, Organic Garbanzo Beans, Sea Salt",United States,352
Tomato Ketchup,Ketchup,"Tomato concentrate, high fructose corn syrup, vinegar, corn syrup, salt, onion powder, spice, natural flavors.",United States,1061
